[2018-09-03 14:59:29] [WARN ] [org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration:104]-- Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
[2018-09-03 15:02:43] [WARN ] [org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration:104]-- Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
[2018-09-03 15:05:47] [WARN ] [org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration:104]-- Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
[2018-09-03 15:07:27] [WARN ] [org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration:104]-- Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
[2018-09-03 15:11:30] [WARN ] [org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration:104]-- Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
[2018-09-03 15:12:22] [WARN ] [org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration:104]-- Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
[2018-09-03 15:13:25] [WARN ] [org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration:104]-- Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
[2018-09-03 15:13:57] [WARN ] [org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration:104]-- Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
[2018-09-03 20:40:13] [WARN ] [org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration:104]-- Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
[2018-09-03 21:04:14] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@719b22fb (No operations allowed after connection closed.)
[2018-09-03 21:04:19] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@75772674 (No operations allowed after connection closed.)
[2018-09-03 21:04:24] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@e08e88d (No operations allowed after connection closed.)
[2018-09-03 21:04:30] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@7f42e247 (No operations allowed after connection closed.)
[2018-09-03 21:04:35] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@71a595eb (No operations allowed after connection closed.)
[2018-09-03 21:04:40] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@7b83a9af (No operations allowed after connection closed.)
[2018-09-03 21:04:41] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@2373e444 (No operations allowed after connection closed.)
[2018-09-03 21:04:44] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@18dc9113 (No operations allowed after connection closed.)
[2018-09-03 21:04:46] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@266d046f (No operations allowed after connection closed.)
[2018-09-03 21:04:49] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@3b772ad6 (No operations allowed after connection closed.)
