[2018-09-13 10:03:56] [WARN ] [org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration:104]-- Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
[2018-09-13 10:19:15] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@133dbb25 (No operations allowed after connection closed.)
[2018-09-13 10:19:15] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@5592ba34 (No operations allowed after connection closed.)
[2018-09-13 10:19:15] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@39eef6e8 (No operations allowed after connection closed.)
[2018-09-13 10:19:15] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@67e42d09 (No operations allowed after connection closed.)
[2018-09-13 10:19:20] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@21cf57d (No operations allowed after connection closed.)
[2018-09-13 10:19:20] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@1756f413 (No operations allowed after connection closed.)
[2018-09-13 10:19:20] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@614f02cc (No operations allowed after connection closed.)
[2018-09-13 10:19:20] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@4e239342 (No operations allowed after connection closed.)
[2018-09-13 10:19:25] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@67a3b13d (No operations allowed after connection closed.)
[2018-09-13 10:19:25] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@59c109a7 (No operations allowed after connection closed.)
[2018-09-13 10:36:04] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@630351d0 (No operations allowed after connection closed.)
[2018-09-13 10:36:09] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@7116e017 (No operations allowed after connection closed.)
[2018-09-13 10:36:09] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@6fa9701f (No operations allowed after connection closed.)
[2018-09-13 10:36:14] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@1eb901a4 (No operations allowed after connection closed.)
[2018-09-13 10:36:14] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@6463a048 (No operations allowed after connection closed.)
[2018-09-13 10:36:19] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@674d4e72 (No operations allowed after connection closed.)
[2018-09-13 10:36:19] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@c07e3e9 (No operations allowed after connection closed.)
[2018-09-13 10:36:24] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@188cf917 (No operations allowed after connection closed.)
[2018-09-13 10:36:24] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@3802b2d8 (No operations allowed after connection closed.)
[2018-09-13 10:36:29] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@4e6e7f83 (No operations allowed after connection closed.)
