[2018-09-16 10:21:40] [WARN ] [org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration:104]-- Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
[2018-09-16 11:16:31] [WARN ] [org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration:104]-- Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
[2018-09-16 11:39:05] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@25ca3eed (No operations allowed after connection closed.)
[2018-09-16 11:39:09] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@3a656645 (No operations allowed after connection closed.)
[2018-09-16 11:39:10] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@142aae0a (No operations allowed after connection closed.)
[2018-09-16 11:39:11] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@40c52168 (No operations allowed after connection closed.)
[2018-09-16 11:39:14] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@3e5e84b3 (No operations allowed after connection closed.)
[2018-09-16 11:39:14] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@37bcdf0f (No operations allowed after connection closed.)
[2018-09-16 11:39:15] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@60e3c734 (No operations allowed after connection closed.)
[2018-09-16 11:39:16] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@56fbd33d (No operations allowed after connection closed.)
[2018-09-16 11:39:19] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@70758314 (No operations allowed after connection closed.)
[2018-09-16 11:39:19] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@12e9b283 (No operations allowed after connection closed.)
[2018-09-16 12:25:45] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@2c4832db (No operations allowed after connection closed.)
[2018-09-16 12:25:50] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@6ea8a18c (No operations allowed after connection closed.)
[2018-09-16 12:25:55] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@18c89575 (No operations allowed after connection closed.)
[2018-09-16 12:26:00] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@2c5d41f8 (No operations allowed after connection closed.)
[2018-09-16 12:26:05] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@584e79a9 (No operations allowed after connection closed.)
[2018-09-16 12:26:10] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@5fb8028 (No operations allowed after connection closed.)
[2018-09-16 12:30:50] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@24d49ae5 (No operations allowed after connection closed.)
[2018-09-16 12:30:53] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@6416d06 (No operations allowed after connection closed.)
[2018-09-16 12:30:55] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@7b6c7875 (No operations allowed after connection closed.)
[2018-09-16 12:30:57] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@228de8bc (No operations allowed after connection closed.)
[2018-09-16 12:52:58] [WARN ] [org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration:104]-- Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
