[2018-09-20 09:46:03] [WARN ] [org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration:104]-- Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
[2018-09-20 09:59:10] [WARN ] [org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration:104]-- Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
[2018-09-20 10:35:10] [WARN ] [org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration:104]-- Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
[2018-09-20 10:36:53] [WARN ] [org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration:104]-- Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
[2018-09-20 11:26:21] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@3d6b989 (No operations allowed after connection closed.)
[2018-09-20 11:26:54] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@d234bfc (No operations allowed after connection closed.)
[2018-09-20 11:50:20] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@271c33e2 (No operations allowed after connection closed.)
[2018-09-20 11:50:25] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@1fd9f2e7 (No operations allowed after connection closed.)
[2018-09-20 11:50:26] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@ebc7566 (No operations allowed after connection closed.)
[2018-09-20 11:50:28] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@19525588 (No operations allowed after connection closed.)
[2018-09-20 11:50:28] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@fd60af5 (No operations allowed after connection closed.)
[2018-09-20 11:50:30] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@2db7a72d (No operations allowed after connection closed.)
[2018-09-20 11:50:31] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@6a7e37d5 (No operations allowed after connection closed.)
[2018-09-20 11:50:33] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@4040c61e (No operations allowed after connection closed.)
[2018-09-20 11:50:33] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@183dcc58 (No operations allowed after connection closed.)
[2018-09-20 11:50:35] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@44e79b1b (No operations allowed after connection closed.)
[2018-09-20 12:47:14] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@42c2a3ce (No operations allowed after connection closed.)
[2018-09-20 12:47:14] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@10adf51 (No operations allowed after connection closed.)
[2018-09-20 12:47:19] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@35425d66 (No operations allowed after connection closed.)
[2018-09-20 12:47:19] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@1bb189cf (No operations allowed after connection closed.)
[2018-09-20 12:47:20] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@1b1f6b28 (No operations allowed after connection closed.)
[2018-09-20 12:47:20] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@6fb80c7a (No operations allowed after connection closed.)
[2018-09-20 12:47:24] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@5617ef4d (No operations allowed after connection closed.)
[2018-09-20 12:47:24] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@4c163dbf (No operations allowed after connection closed.)
[2018-09-20 12:47:25] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@5c0369ce (No operations allowed after connection closed.)
[2018-09-20 12:47:25] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@76cbedd2 (No operations allowed after connection closed.)
[2018-09-20 13:04:31] [WARN ] [org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration:104]-- Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
[2018-09-20 13:10:06] [WARN ] [org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration:104]-- Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
[2018-09-20 14:41:46] [WARN ] [org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration:104]-- Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
[2018-09-20 17:46:33] [WARN ] [org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration:104]-- Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
[2018-09-20 18:52:40] [WARN ] [org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration:104]-- Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
[2018-09-20 19:20:30] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@7c4250c8 (No operations allowed after connection closed.)
[2018-09-20 19:20:30] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@53ff8de5 (No operations allowed after connection closed.)
[2018-09-20 19:20:35] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@4e61b094 (No operations allowed after connection closed.)
[2018-09-20 19:20:35] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@17305896 (No operations allowed after connection closed.)
[2018-09-20 19:20:40] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@285c7c1f (No operations allowed after connection closed.)
[2018-09-20 19:20:40] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@2a2677b (No operations allowed after connection closed.)
[2018-09-20 19:20:45] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@47a34049 (No operations allowed after connection closed.)
[2018-09-20 19:20:45] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@4762ec17 (No operations allowed after connection closed.)
[2018-09-20 19:20:50] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@4a9088e (No operations allowed after connection closed.)
[2018-09-20 19:20:50] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@4c4017f (No operations allowed after connection closed.)
[2018-09-20 19:32:53] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@62ced702 (No operations allowed after connection closed.)
[2018-09-20 19:32:53] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@2c211d60 (No operations allowed after connection closed.)
